2017-03-16T14:19:12.979432 Beam Pointing
time	x0	y0
0.636	2029.39	655.20
0.767	2029.21	654.74
0.892	2029.54	655.22
1.029	2029.58	655.16
1.156	2029.29	654.81
1.286	2029.36	654.97
1.412	2029.16	655.38
1.549	2029.24	655.12
1.676	2029.52	654.80
1.804	2029.52	655.23
1.933	2029.50	655.10
2.069	2029.40	654.88
2.197	2029.51	654.58
2.324	2029.49	654.52
2.453	2029.41	654.45
2.589	2028.77	654.44
2.717	2028.85	654.77
2.845	2029.08	654.60
2.973	2029.32	654.62
3.109	2029.43	654.97
3.263	2029.07	654.76
3.373	2029.10	654.81
3.493	2029.14	655.22
3.629	2029.14	655.09
3.757	2029.27	655.31
3.886	2029.11	655.37
4.013	2029.47	655.39
4.148	2028.90	655.16
4.277	2029.13	655.39
4.405	2029.03	655.26
4.533	2029.37	655.25
4.661	2028.87	654.79
4.797	2029.06	654.96
4.925	2029.40	655.07
5.053	2029.06	655.28
5.183	2029.01	655.13
5.317	2028.93	655.15
5.445	2029.34	655.43
5.573	2028.77	655.01
5.701	2028.69	655.15
5.837	2028.71	655.20
5.966	2029.07	655.22
6.093	2029.25	654.52
6.221	2029.15	655.12
6.359	2029.12	655.53
6.489	2029.09	655.21
6.613	2029.30	655.39
6.758	2029.25	655.18
6.872	2028.82	655.39
7.004	2028.83	655.35
7.133	2028.79	655.41
7.261	2028.86	655.47
7.389	2028.66	655.02
7.525	2028.66	654.69
7.652	2028.99	655.57
7.782	2028.75	654.76
7.908	2028.87	655.01
8.045	2029.22	655.36
8.175	2029.29	654.96
8.301	2028.74	655.10
8.429	2028.93	655.47
8.565	2029.04	655.45
8.693	2028.82	655.13
8.821	2029.09	655.37
8.949	2029.07	654.81
9.086	2029.28	654.98
9.212	2029.10	654.25
9.341	2028.90	654.63
9.469	2028.50	654.21
9.600	2028.95	654.22
9.733	2028.75	654.84
9.861	2028.64	655.00
9.989	2028.61	654.57
10.117	2028.91	655.64
10.252	2029.22	654.34
10.382	2029.27	654.96
10.511	2028.67	655.13
10.637	2028.35	654.88
10.773	2028.40	654.92
10.901	2028.36	654.61
11.030	2028.75	654.49
11.157	2028.69	654.40
11.295	2028.67	654.69
11.450	2028.88	655.10
11.592	2028.94	654.72
11.716	2028.54	655.19
11.841	2028.67	655.40
11.969	2028.42	655.49
12.093	2028.89	655.19
12.219	2028.22	655.33
12.346	2028.51	654.90
12.473	2028.33	654.58
12.600	2029.05	654.76
12.730	2028.59	654.79
12.859	2028.78	655.10
12.988	2029.06	655.25
13.116	2029.26	655.08
13.246	2029.15	654.75
13.374	2029.28	654.95
13.502	2029.21	655.22
13.632	2028.87	655.07
13.763	2028.82	655.42
13.894	2028.99	655.59
14.025	2029.34	655.09
14.155	2028.68	655.10
14.285	2028.91	654.96
14.414	2028.83	654.59
14.542	2028.68	654.87
14.670	2028.72	655.62
14.799	2028.75	655.46
14.928	2028.96	655.92
15.058	2029.20	655.68
15.189	2028.04	655.21
15.322	2017.50	655.16
15.453	2005.72	654.59
15.589	1995.86	654.89
15.721	1985.73	654.66
15.853	1975.60	654.45
15.987	1965.33	654.59
16.117	1958.70	654.30
16.248	1951.85	653.70
16.379	1943.52	654.44
16.511	1934.08	654.33
16.645	1927.30	654.30
16.783	1921.47	654.29
16.917	1915.41	654.77
17.055	1908.52	654.95
17.196	1902.46	654.76
17.335	1893.98	654.46
17.475	1884.13	655.15
17.614	1873.51	655.11
17.751	1863.57	654.67
17.888	1850.21	654.14
18.027	1838.15	654.21
18.165	1828.21	654.05
18.304	1816.53	653.71
18.444	1796.75	653.70
18.583	1788.74	652.83
18.719	1784.12	654.17
18.857	1784.49	653.62
18.996	1784.51	654.11
19.138	1784.43	654.38
19.281	1784.51	653.97
19.423	1783.34	652.87
19.568	1772.08	653.66
19.711	1751.21	654.78
19.857	1729.87	654.72
20.001	1712.27	654.75
20.142	1679.47	654.55
20.284	1660.05	654.58
20.426	1638.23	654.62
20.570	1618.48	653.47
20.713	1598.94	652.75
20.856	1583.11	652.12
21.002	1567.52	652.48
21.146	1559.82	653.50
21.292	1560.01	654.02
21.431	1559.34	654.11
21.571	1559.80	653.18
21.710	1553.67	653.13
21.850	1528.93	654.41
21.992	1496.63	654.55
22.134	1465.89	653.94
22.275	1442.17	654.03
22.416	1417.76	652.98
22.560	1392.94	652.10
22.704	1377.30	651.19
22.852	1362.09	650.60
22.998	1347.23	650.50
23.141	1340.65	652.54
23.286	1340.72	652.82
23.431	1341.00	651.95
23.580	1337.62	651.64
23.727	1317.74	651.91
23.895	1301.02	652.16
24.067	1272.89	653.54
24.215	1254.13	653.94
24.362	1239.36	653.82
24.509	1226.71	653.61
24.658	1208.52	653.38
24.805	1191.24	652.95
24.950	1160.61	651.92
25.096	1148.92	652.10
25.242	1145.47	653.03
25.392	1145.40	653.19
25.542	1145.58	652.98
25.694	1145.75	652.74
25.842	1133.23	653.08
25.990	1092.50	653.25
26.139	1077.32	653.00
26.293	1057.28	652.35
26.447	1036.42	652.54
26.600	1019.54	652.40
26.753	998.20	650.68
26.900	950.69	650.11
27.049	936.00	651.33
27.198	935.51	651.65
27.350	935.74	651.44
27.501	935.08	651.12
27.656	922.04	651.04
27.807	902.03	651.44
27.960	867.20	651.89
28.114	855.57	651.48
28.267	846.48	651.48
28.421	837.27	651.57
28.572	825.85	651.72
28.724	799.89	651.38
28.879	786.48	651.15
29.037	773.75	650.70
29.195	766.22	651.34
29.354	766.32	651.28
29.507	764.55	650.05
29.664	740.72	649.76
29.822	711.91	650.29
29.980	689.89	650.97
30.133	672.02	650.85
30.287	638.06	650.97
30.445	624.14	650.51
30.606	610.61	650.31
30.765	598.68	649.95
30.922	594.36	650.99
31.081	594.08	649.90
31.238	593.54	649.39
31.397	579.28	648.87
31.558	559.28	649.58
31.716	532.49	650.25
31.873	520.63	650.56
32.035	508.12	651.06
32.197	495.87	650.46
32.355	483.88	650.79
32.515	461.27	650.70
32.677	451.97	650.23
32.838	448.52	650.39
33.001	449.00	649.80
33.163	449.70	647.96
33.324	444.75	647.79
33.486	423.07	648.75
33.646	402.50	649.65
33.809	372.78	650.04
33.975	361.28	650.23
34.136	352.66	650.17
34.300	344.40	650.24
34.461	326.88	649.55
34.627	315.44	649.37
34.792	303.58	648.94
34.957	299.35	649.03
35.118	299.40	649.12
35.282	295.49	649.00
35.449	280.89	648.91
35.617	274.02	648.99
35.797	261.70	649.53
35.967	253.84	649.67
36.131	246.60	648.87
36.299	234.58	649.72
36.466	229.37	649.92
36.633	228.59	649.55
36.806	223.61	649.76
36.970	219.47	649.09
37.136	216.83	649.27
37.299	216.44	649.75
37.461	216.15	649.79
37.633	216.29	649.14
37.801	216.30	649.40
37.965	215.78	649.79
38.134	216.11	649.83
38.303	216.30	650.17
38.467	215.83	650.22
38.633	217.08	650.68
38.802	216.34	650.54
38.969	216.01	650.39
39.133	215.70	649.89
39.301	216.13	650.49
39.468	216.06	650.71
39.633	215.72	650.61
39.799	215.71	651.02
39.969	215.27	650.60
40.139	211.29	650.81
40.311	203.73	650.48
40.486	202.69	651.07
40.656	201.09	649.82
40.826	196.50	650.38
40.998	194.78	650.45
41.170	192.11	650.14
41.339	186.84	650.23
41.510	183.56	649.92
41.695	181.42	649.86
41.863	180.63	650.39
42.035	179.52	649.96
42.205	178.87	650.29
42.374	177.53	650.23
42.544	176.48	650.81
42.714	174.98	650.49
42.882	174.12	650.54
43.052	174.54	650.97
43.225	174.47	650.99
43.395	174.36	651.02
43.568	173.92	651.67
43.744	174.24	651.10
43.916	174.36	650.22
44.154	174.57	650.07
44.326	174.36	650.26
44.497	174.59	649.54
44.670	174.78	650.71
44.839	174.89	650.60
45.014	175.22	650.60
45.189	175.15	650.64
45.362	175.05	650.63
45.540	175.41	650.78
45.717	176.24	650.36
45.890	177.02	650.45
46.067	176.81	650.60
46.243	177.05	651.13
46.416	176.79	649.88
46.593	177.22	650.16
46.772	177.21	650.31
46.944	177.00	650.50
47.122	176.95	650.88
47.303	176.92	650.48
47.480	176.98	650.77
47.660	176.63	650.73
47.837	176.91	650.70
48.016	177.06	650.63
48.197	177.23	650.54
48.374	177.28	650.13
48.553	177.53	650.15
48.733	177.46	650.18
48.912	177.15	650.11
49.097	177.24	650.00
49.273	177.12	650.08
49.466	176.80	650.61
49.645	177.12	650.83
49.831	176.80	650.65
50.015	176.91	650.37
50.196	176.96	650.21
50.379	176.91	650.37
50.560	176.81	650.23
50.738	176.81	650.69
50.919	176.96	650.45
51.097	177.12	650.32
51.280	176.87	650.60
51.463	176.97	650.58
51.644	177.06	650.27
51.826	177.23	650.39
52.009	177.20	650.01
52.191	177.18	650.25
52.375	177.20	649.85
52.557	177.48	650.16
52.744	176.90	650.29
52.924	177.21	650.31
53.108	176.84	650.07
53.291	177.80	650.27
53.478	177.17	650.53
53.664	177.03	649.72
53.848	177.16	650.68
54.035	176.93	650.23
54.218	177.08	650.36
54.404	176.74	650.63
54.588	176.85	650.33
54.796	177.05	649.80
54.977	176.80	650.21
55.163	176.84	650.07
55.354	176.98	650.15
55.539	177.12	650.42
55.730	177.28	650.30
55.916	176.96	650.43
56.105	176.73	649.99
56.292	176.41	649.78
56.484	176.96	650.37
56.675	176.96	650.40
56.865	176.83	650.67
57.057	176.82	650.34
57.250	176.88	650.40
57.442	176.91	650.43
57.635	176.79	650.31
57.826	176.85	650.02
58.017	176.89	650.31
58.215	176.70	650.03
58.402	177.05	650.05
58.598	176.82	650.09
58.786	176.74	650.35
58.978	176.89	650.40
59.169	177.55	650.41
59.364	177.36	650.09
59.557	177.14	650.10
59.752	176.71	650.20
59.945	176.86	650.57
60.143	176.61	650.28
60.338	176.31	650.60
60.535	176.77	650.95
60.726	176.78	650.48
60.925	176.88	650.29
61.138	176.69	650.21
61.333	177.14	650.41
61.531	177.39	650.44
61.729	177.11	650.39
61.934	177.28	650.17
62.132	176.68	650.03
62.331	176.80	650.04
62.526	176.83	650.23
62.721	176.81	650.15
62.918	176.45	650.75
63.116	176.88	650.36
63.311	176.77	650.44
63.512	176.82	650.13
63.710	176.78	650.07
63.912	176.89	649.99
64.110	176.78	650.67
64.314	176.66	650.07
64.512	176.68	650.05
64.712	177.16	650.59
64.911	176.52	649.98
65.118	176.50	649.64
65.317	176.60	650.19
65.519	176.97	649.81
65.717	176.55	650.64
65.912	176.62	650.48
66.114	176.62	649.89
66.311	176.69	650.23
66.514	176.52	650.03
66.714	177.43	650.39
66.918	177.31	650.17
67.121	176.90	650.25
67.325	177.07	650.33
67.526	176.69	650.53
67.730	176.81	650.34
67.935	176.58	649.96
68.136	176.49	650.41
68.344	176.78	650.36
68.566	177.19	650.06
68.764	177.11	649.94
68.970	176.57	650.16
69.170	176.90	649.76
69.378	176.95	649.72
69.581	176.53	650.87
69.787	176.83	650.70
69.989	176.21	650.06
70.193	176.83	650.52
70.399	176.79	650.46
70.605	176.97	650.44
70.815	177.13	650.33
71.020	176.45	650.38
71.226	176.63	650.25
71.431	176.91	650.21
71.637	176.89	649.88
71.847	176.77	649.59
72.053	177.21	649.15
72.263	177.32	649.80
72.473	177.01	649.96
