2017-03-17T14:35:22.075660 Beam Pointing
time	x0	y0
0.657	1141.89	606.92
0.794	1141.90	606.73
0.930	1142.62	607.40
1.066	1142.73	607.80
1.198	1143.98	608.02
1.327	1145.02	607.61
1.464	1146.11	606.58
1.596	1146.74	603.68
1.727	1146.52	601.29
1.862	1146.43	599.55
1.999	1146.20	599.07
2.135	1146.69	601.06
2.280	1146.49	602.94
2.425	1146.85	604.90
2.562	1145.93	605.92
2.698	1145.77	608.19
2.841	1145.55	609.65
2.974	1145.66	610.75
3.107	1145.30	610.13
3.241	1145.71	609.36
3.370	1144.77	608.16
3.504	1144.62	607.46
3.644	1144.28	606.36
