2017-03-16T14:31:26.488634 Beam Pointing
time	x0	y0
0.655	nan	nan
0.805	nan	nan
0.912	nan	nan
1.028	nan	nan
1.157	nan	nan
1.283	nan	nan
1.412	nan	nan
1.564	nan	nan
1.680	nan	nan
1.804	nan	nan
1.932	nan	nan
2.067	nan	nan
2.196	nan	nan
2.324	nan	nan
2.452	nan	nan
2.587	nan	nan
2.716	nan	nan
2.846	nan	nan
2.972	nan	nan
3.108	nan	nan
3.235	nan	nan
3.365	nan	nan
3.495	nan	nan
3.628	nan	nan
3.756	nan	nan
3.883	nan	nan
4.011	nan	nan
4.140	nan	nan
4.276	nan	nan
4.405	nan	nan
4.532	nan	nan
4.660	nan	nan
4.796	nan	nan
4.924	nan	nan
5.052	nan	nan
5.181	nan	nan
5.316	nan	nan
5.445	nan	nan
5.572	nan	nan
5.700	nan	nan
5.836	nan	nan
5.964	nan	nan
6.092	nan	nan
6.221	nan	nan
6.357	nan	nan
6.483	nan	nan
6.613	nan	nan
6.742	nan	nan
6.868	nan	nan
7.004	nan	nan
7.132	nan	nan
7.260	nan	nan
7.387	nan	nan
7.525	nan	nan
7.651	nan	nan
7.779	nan	nan
7.910	nan	nan
8.045	nan	nan
8.171	nan	nan
8.300	nan	nan
8.428	nan	nan
8.564	nan	nan
8.692	nan	nan
8.821	nan	nan
8.948	nan	nan
9.084	nan	nan
9.212	nan	nan
9.341	nan	nan
9.467	nan	nan
9.596	nan	nan
9.732	nan	nan
9.860	nan	nan
9.988	nan	nan
10.115	nan	nan
10.252	nan	nan
10.380	nan	nan
10.508	nan	nan
10.636	28.42	0.58
10.772	nan	nan
10.900	nan	nan
11.029	nan	nan
11.162	nan	nan
11.292	nan	nan
11.420	nan	nan
11.548	nan	nan
11.678	nan	nan
11.812	nan	nan
11.941	nan	nan
12.068	nan	nan
12.196	nan	nan
12.324	nan	nan
12.460	nan	nan
12.589	nan	nan
12.717	nan	nan
12.847	nan	nan
12.980	nan	nan
13.108	nan	nan
13.236	nan	nan
13.364	nan	nan
13.500	nan	nan
13.629	nan	nan
13.757	nan	nan
13.883	nan	nan
14.019	nan	nan
14.148	nan	nan
14.276	nan	nan
14.405	nan	nan
14.540	nan	nan
14.668	nan	nan
14.796	nan	nan
14.924	nan	nan
15.060	nan	nan
15.189	nan	nan
15.316	nan	nan
15.444	nan	nan
15.573	nan	nan
15.708	nan	nan
15.837	nan	nan
15.964	nan	nan
16.092	nan	nan
16.227	nan	nan
16.358	nan	nan
16.485	nan	nan
16.616	nan	nan
16.748	nan	nan
16.877	nan	nan
17.006	nan	nan
17.134	nan	nan
17.268	nan	nan
17.397	nan	nan
17.525	nan	nan
17.658	nan	nan
17.789	nan	nan
17.920	nan	nan
18.049	nan	nan
18.181	nan	nan
18.311	nan	nan
18.441	nan	nan
18.570	nan	nan
18.706	nan	nan
18.837	nan	nan
18.981	nan	nan
19.111	nan	nan
19.249	nan	nan
19.382	nan	nan
