2017-03-16T14:34:25.922503 Beam Pointing
time	x0	y0
0.672	0.00	0.00
0.765	0.00	0.00
0.911	0.00	0.00
1.028	0.00	0.00
1.175	0.00	0.00
1.285	0.00	0.00
1.429	0.00	0.00
1.548	0.00	0.00
1.697	0.00	0.00
1.804	0.00	0.00
1.956	0.00	0.00
2.069	0.00	0.00
2.196	0.00	0.00
2.352	0.00	0.00
2.452	0.00	0.00
2.600	0.00	0.00
2.717	0.00	0.00
2.871	0.00	0.00
2.973	0.00	0.00
3.117	0.00	0.00
3.237	0.00	0.00
3.386	0.00	0.00
3.492	0.00	0.00
3.628	0.00	0.00
3.772	0.00	0.00
3.885	0.00	0.00
4.024	0.00	0.00
4.141	0.00	0.00
4.282	0.00	0.00
4.404	0.00	0.00
4.533	0.00	0.00
4.659	0.00	0.00
4.796	0.00	0.00
4.924	0.00	0.00
5.055	0.00	0.00
5.181	0.00	0.00
5.316	0.00	0.00
5.445	0.00	0.00
5.588	0.00	0.00
5.701	0.00	0.00
5.856	0.00	0.00
5.964	0.00	0.00
6.103	0.00	0.00
6.220	0.00	0.00
6.377	0.00	0.00
6.485	0.00	0.00
6.618	0.00	0.00
6.741	0.00	0.00
6.868	0.00	0.00
7.016	0.00	0.00
7.136	0.00	0.00
7.260	0.00	0.00
7.388	0.00	0.00
7.524	0.00	0.00
7.665	0.00	0.00
7.780	0.00	0.00
7.917	0.00	0.00
8.045	0.00	0.00
8.177	0.00	0.00
8.300	0.00	0.00
8.428	0.00	0.00
8.576	0.00	0.00
8.698	0.00	0.00
8.820	0.00	0.00
8.949	0.00	0.00
9.085	0.00	0.00
9.212	0.00	0.00
9.344	0.00	0.00
9.469	0.00	0.00
9.597	0.00	0.00
9.735	0.00	0.00
9.860	0.00	0.00
10.002	0.00	0.00
10.117	0.00	0.00
10.271	0.00	0.00
10.380	0.00	0.00
10.508	0.00	0.00
10.637	0.00	0.00
10.773	0.00	0.00
10.900	0.00	0.00
11.029	0.00	0.00
11.172	0.00	0.00
11.294	0.00	0.00
