2017-03-17T14:32:21.411311 Beam Pointing
time	x0	y0
0.546	1142.18	610.08
0.782	1141.27	610.07
1.015	1140.68	610.49
1.282	1140.14	610.65
1.517	1140.23	611.82
1.751	1141.37	612.64
1.985	1141.39	611.95
2.221	1140.56	611.60
2.468	1140.17	611.53
2.701	1138.51	609.29
2.954	1138.47	609.03
3.205	1139.26	607.46
3.466	1139.37	606.47
3.704	1138.28	606.09
3.938	1138.80	605.59
4.142	1139.40	605.87
4.346	1140.79	604.56
4.581	1141.03	604.16
4.815	1141.91	604.03
5.012	1142.90	603.71
5.218	1143.52	604.17
5.422	1141.54	604.28
5.626	1140.49	603.88
5.843	1140.11	603.82
6.033	1140.85	603.96
6.253	1139.88	603.88
6.467	1133.95	599.96
6.671	1134.35	599.46
6.874	1134.83	600.59
7.076	1136.49	602.70
7.285	1138.84	608.99
7.499	1136.60	612.78
7.702	1134.70	613.10
7.904	1134.92	613.30
8.109	1136.67	612.68
8.310	1135.75	610.58
8.498	1137.35	609.46
8.700	1137.31	609.81
8.906	1138.47	610.96
9.111	1139.03	611.48
9.342	1142.01	611.35
9.544	1141.48	608.78
9.751	1141.48	608.11
9.968	1143.02	608.74
10.171	1144.46	609.27
10.377	1145.77	609.59
10.606	1145.56	608.57
10.811	1145.27	609.03
11.033	1142.92	608.70
11.235	1140.88	607.96
11.467	1140.38	609.23
11.674	1141.23	611.55
11.873	1142.51	611.51
12.079	1142.06	609.96
12.286	1140.58	608.68
12.517	1140.43	608.15
12.751	1141.07	609.01
12.953	1139.56	607.65
13.202	1140.24	608.54
13.422	1142.81	609.11
13.640	1143.35	605.70
13.859	1144.67	605.71
14.066	1146.22	606.31
14.282	1144.21	605.21
14.499	1136.62	598.94
14.700	1135.64	599.94
14.902	1139.44	604.56
15.110	1141.05	605.80
15.328	1143.10	606.30
15.533	1142.66	604.88
15.782	1142.01	605.10
16.013	1142.67	606.32
16.251	1141.72	608.34
16.488	1142.26	609.00
16.700	1143.05	607.74
16.906	1143.94	607.32
17.106	1145.17	608.31
17.325	1145.04	608.42
